train: n=512 dim=52 alpha_eff=3.91e-04 lam=0.7 eps 0.15->0.02
start eval: 97.5% vs random
  [A-vs-random] game 25/40000 (total 25)
  [A-vs-random] game 50/40000 (total 50)
  [A-vs-random] game 75/40000 (total 75)
  [A-vs-random] game 100/40000 (total 100)
  [A-vs-random] game 125/40000 (total 125)
  [A-vs-random] game 150/40000 (total 150)
  [A-vs-random] game 175/40000 (total 175)
  [A-vs-random] game 200/40000 (total 200)
  [A-vs-random] game 225/40000 (total 225)
  [A-vs-random] game 250/40000 (total 250)
  [A-vs-random] game 275/40000 (total 275)
  [A-vs-random] game 300/40000 (total 300)
  [A-vs-random] game 325/40000 (total 325)
  [A-vs-random] game 350/40000 (total 350)
  [A-vs-random] game 375/40000 (total 375)
  [A-vs-random] game 400/40000 (total 400)
  [A-vs-random] game 425/40000 (total 425)
  [A-vs-random] game 450/40000 (total 450)
  [A-vs-random] game 475/40000 (total 475)
  [A-vs-random] game 500/40000 (total 500)
  [A-vs-random] game 525/40000 (total 525)
  [A-vs-random] game 550/40000 (total 550)
  [A-vs-random] game 575/40000 (total 575)
  [A-vs-random] game 600/40000 (total 600)
  [A-vs-random] game 625/40000 (total 625)
  [A-vs-random] game 650/40000 (total 650)
  [A-vs-random] game 675/40000 (total 675)
  [A-vs-random] game 700/40000 (total 700)
  [A-vs-random] game 725/40000 (total 725)
  [A-vs-random] game 750/40000 (total 750)
  [A-vs-random] game 775/40000 (total 775)
  [A-vs-random] game 800/40000 (total 800)
  [A-vs-random] game 825/40000 (total 825)
  [A-vs-random] game 850/40000 (total 850)
  [A-vs-random] game 875/40000 (total 875)
  [A-vs-random] game 900/40000 (total 900)
  [A-vs-random] game 925/40000 (total 925)
  [A-vs-random] game 950/40000 (total 950)
  [A-vs-random] game 975/40000 (total 975)
  [A-vs-random] game 1000/40000 (total 1000)
  [A-vs-random] game 1025/40000 (total 1025)
  [A-vs-random] game 1050/40000 (total 1050)
  [A-vs-random] game 1075/40000 (total 1075)
  [A-vs-random] game 1100/40000 (total 1100)
  [A-vs-random] game 1125/40000 (total 1125)
  [A-vs-random] game 1150/40000 (total 1150)
  [A-vs-random] game 1175/40000 (total 1175)
  [A-vs-random] game 1200/40000 (total 1200)
  [A-vs-random] game 1225/40000 (total 1225)
  [A-vs-random] game 1250/40000 (total 1250)
  [A-vs-random] game 1275/40000 (total 1275)
  [A-vs-random] game 1300/40000 (total 1300)
  [A-vs-random] game 1325/40000 (total 1325)
  [A-vs-random] game 1350/40000 (total 1350)
  [A-vs-random] game 1375/40000 (total 1375)
  [A-vs-random] game 1400/40000 (total 1400)
  [A-vs-random] game 1425/40000 (total 1425)
  [A-vs-random] game 1450/40000 (total 1450)
  [A-vs-random] game 1475/40000 (total 1475)
  [A-vs-random] game 1500/40000 (total 1500)
  [A-vs-random] game 1525/40000 (total 1525)
  [A-vs-random] game 1550/40000 (total 1550)
  [A-vs-random] game 1575/40000 (total 1575)
  [A-vs-random] game 1600/40000 (total 1600)
  [A-vs-random] game 1625/40000 (total 1625)
  [A-vs-random] game 1650/40000 (total 1650)
  [A-vs-random] game 1675/40000 (total 1675)
  [A-vs-random] game 1700/40000 (total 1700)
  [A-vs-random] game 1725/40000 (total 1725)
  [A-vs-random] game 1750/40000 (total 1750)
  [A-vs-random] game 1775/40000 (total 1775)
  [A-vs-random] game 1800/40000 (total 1800)
  [A-vs-random] game 1825/40000 (total 1825)
  [A-vs-random] game 1850/40000 (total 1850)
  [A-vs-random] game 1875/40000 (total 1875)
  [A-vs-random] game 1900/40000 (total 1900)
  [A-vs-random] game 1925/40000 (total 1925)
  [A-vs-random] game 1950/40000 (total 1950)
  [A-vs-random] game 1975/40000 (total 1975)
  [A-vs-random] game 2000/40000 (total 2000)
  eval@2000: 95.0% vs random
  [A-vs-random] game 2025/40000 (total 2025)
  [A-vs-random] game 2050/40000 (total 2050)
  [A-vs-random] game 2075/40000 (total 2075)
  [A-vs-random] game 2100/40000 (total 2100)
  [A-vs-random] game 2125/40000 (total 2125)
  [A-vs-random] game 2150/40000 (total 2150)
  [A-vs-random] game 2175/40000 (total 2175)
  [A-vs-random] game 2200/40000 (total 2200)
  [A-vs-random] game 2225/40000 (total 2225)
  [A-vs-random] game 2250/40000 (total 2250)
  [A-vs-random] game 2275/40000 (total 2275)
  [A-vs-random] game 2300/40000 (total 2300)
  [A-vs-random] game 2325/40000 (total 2325)
  [A-vs-random] game 2350/40000 (total 2350)
  [A-vs-random] game 2375/40000 (total 2375)
  [A-vs-random] game 2400/40000 (total 2400)
  [A-vs-random] game 2425/40000 (total 2425)
  [A-vs-random] game 2450/40000 (total 2450)
  [A-vs-random] game 2475/40000 (total 2475)
  [A-vs-random] game 2500/40000 (total 2500)
  [A-vs-random] game 2525/40000 (total 2525)
  [A-vs-random] game 2550/40000 (total 2550)
  [A-vs-random] game 2575/40000 (total 2575)
